content,score,Label
"Udah bisa di hubungkan ke Drive sekarang. Tapi sayang lama banget, diperbaiki nya. Saya komen dari tanggal 20/06/24. Baru sekarang bisa dihubungkan, itupun modal iseng aj. Padahal niat mau uninstall sebab sudah gak ada Mata kuliah yang butuh edlink lagi. Ya udahlah. Thanks",5,Positif
"Gaada notif jatuh tempo keuangan, jadi gatau tiba2 liat pembayaran jatuh tempo, minimal kasih tau dong kalau udah mendekati jatuh tempo, jadi kaget",1,Negatif
"Oke, aplikasi sudah diverifikasi google dan sip",5,Positif
"Saya kasih ulasan bintang 3 karena ketika mengerjakan quiz di edlink lag, tidak bisa di klik pada jawaban atau tombol next lemot parah, padahal sinyal baik baik saja, saya kira karena hp saya sendiri, ternyata gangguan tersebut juga dirasakan temen temen sekelas, tolong diperbaiki ya, jika sudah saya ulas kembali bintang 5",3,
Tolongdong ini edlink kok tiba tiba gak bisa ngumpulin tugas ya,1,Negatif
"memori buat beekasnya terlalu kecil, sedangkan kami para mahasiswa butuh banyak lgi memori buat berkas biar pengumpulan tugas kami tidak terhambat",4,Positif
"Aplikasi gajelassssssssssssss, informasj akademik dibatasi, mau lihat transkip nilai sendiri pun ditutup, apalah ni aplikasi",1,Negatif
"Sulit di gunakan, padahal udah masukan sandi yg sesuai dengan siakad sebelum malah ga bisa login",1,Negatif
Hallo kenapa saya tidak bisa mengirimkan tugas ya?bilangnya penyimpan penuh Sama di upgrade ke edlink pro padahal penyimpanan saya masih banyak,2,Negatif
Kok nggak bisa dibuka ya aplikasi nya? Tolong dong diperbaiki lagi aplikasi nya,1,Negatif
Aplikasi ini sangat membantu dan membuat belajar menjadi lebih mudah. Terima kasih.,4,Positif
tolong fix pas mau buka berkasnya kadang bisa di buka kadang gak harus di download dulu baru bisa,4,Positif
Tolong min ini!!? kenapa aplikasi saya pas saya buka ke log out trus saya coba buat masuk gak bisa kemudian saya cek playstore ternyata harus update aplkasi saya sudah update.pas saya mau masuk lagi lewat google kok masih gak bisa keterangan nya malah terjadi kesalahan terhadap server ini gimana yah min,3,
"Kode verifikasi kok gk ada di gmail kirim berulang ulang gk nimbul juga,aplikasi menyusah kan",1,Negatif
"Aplikasinya ok, ui juga simpel. Tapi gaada tempat lihat materi(cuma ada di website), sama tiap absen scan qr misal nggak valid otomatis keluar terus harus buka qr scan lagi. Moga di update biar ga buka tutup qr scan kalo gagal absen",3,
Tolong di perbaiki lagi dong kadang kadang suka eror apknya suka susah melakukan pembayaran melalui edlink,3,
"Kadang2 suka error melulu min, kenapa sih !?",1,Negatif
"Hi edlink, mohon untuk fitur chat di update lagi agar ada tanda notif chat terbaru, soalnya gak bisa bedain mana chat yang sudah dibaca dengan yang belum",5,Positif
Aplikasi nya sering keluar mulu.. Apalagi saat ngumpulin tugas masa tugas nya tiba2 ilang padahal tulisan nya berhasil upload jadinya tugasnya gak ke kumpul dan tidak bisa upload ulang karena udah ditutup deadline tugasnya,2,Negatif
"Sebenarnya aplikasinya sangat lengkap dan sangat membantu, tapi apabila dosen mengirimkan draft tugas tidak masuk di edlink. Di siakad memang masuk notifikasinya tpi terlalu ribet menggunakan siakad yg harus login setiap kali ingin masuk. Terkadang ketika dosen mengirimkan tugas kita tidak tahu karena notifikasi di edlink tidak masuk. Penggunaan siakad juga terlalu ribet digunakan dihp. Tolong untuk diperbaiki lagi. Terima kasih.",1,Negatif
Kok sekarang ga bisa login ya padahal password dan username sudah benar,1,Negatif
"Padahal sinyal/jaringan bagus tapi tiap mau buka materi/kelas leletnya luar biasa, udh dicoba berkali-kali masih aja",1,Negatif
"Suka ada msalah sm jaringan, ga di hp ga di laptop, dibuka tulisannya ada masalah jaringan padahal pas buka ytb masih lancar. & makasih udah buat kuisnya bermasalah terus, padahal udah jawab semua soal trus tinggal kumpul, pas kumpul malah ngulang dari awal, pas ngejawab ada tulisan waktu habis, trus ku tekan satu2 jwaban nomor masi gabisa. pas no 10 teken berikutnya malah kekumpul😠 gimana ini?",1,Negatif
"Ya... sebenernya aplikasinya membantu dan bagus. Tapi kenapa harus login terus menerus. Tadi juga lagi quiz terus tiba² keluar harus login lagi tapi waktu terus jalan kan jadi buang² waktu. Kayanya hari ini saya keluar tiba² dan harus login terus mungkin 4/5 kali, itu juga pas saya buka. Kemarin itu pantesan gak ada notifikasi apa² ternyata aplikasinya logout sendiri, udah gitu loading lama jadi aja ketinggalan tugas :( Terima kasih, semoga kedepannya lebih baik lagi🙏",3,
Setelah pembaruan bukannya tambah optimal malah tambah buruk... Payah,1,Negatif
"Ketika login sudah berkali kali mengirim kode verifikasi ke email,tetap tidak terkirim kodenya",3,
"Permisi min, kok detail tugas dan sesi saya malah jadi ngga terlihat ya ini gimana?",2,Negatif
"Aplikasinya ga bisa dipakek, scan barcode gagal terus",1,Negatif
"Akun saya keluar sendiri , saat coba masuk dengan siakad muncul pesan terjadi kesalahan pada sistem ,tolong di perbaiki",1,Negatif
"Hi EdLink. Saya mengusulkan model subscribe platform client individu untuk pengajar. Jadi semisal Dari perguruan tinggi masih menggunakan yang basic, Dosen pengampu bisa menggunakan fitur premium dengan swadaya. Terimakasih semoga dipertimbangkan.",5,Positif
"Tolong kenapa ya suka keluar tiba² padahal udah berusaha buat login di google tp susah skli buat di pencet, tolong kerja sama nya, jangan sampai keluar tiba² dengan sendirinya, tolong dong biar bisa login lagi lewat google",1,Negatif
pindah sistem nilainya ketinggalan yg di sistem yg dulu pas udah perbaikan nilaipun blm semuanya masuk di edlink,4,Positif
"Notif gak masuk sama sekali, errorr.",2,Negatif
"Aplikasi ini sumpah jelek banget bikin ribet, kendala di aplikasi ini banyak banget😭 ga layak bahkan di kasih bintang 1 aja 😭",1,Negatif
Scan barcode presentasi selalu Ga Valid,1,Negatif
"Tolong kepada pihak apk sevima, akun saya saat akan mengakses materi dari dosen saya malah twetulis dibatasi. Tolong solusinya 🙏",2,Negatif
"aneh kenapa tiba tiba keluar sendiri dari akun saya dan ketika masuk ga terhubung dengan kelas di perguruan tinggi, sangat menggangu ini! mau mengirimkan tugas tidak bisa juga, jangan sampai tugas yang udah saya kumpulkan hilang semua",1,Negatif
"Suruh kasih izin mulu, padahal udah dikasih izin penyimpanan, kocak nih aplikasi ga stabil",1,Negatif
Halo mengapa device saya tidak bisa menerima tugas dari dosen? Sedangkan device teman saya bisa dan ada device teman saya juga yang tidak bisa menerima tugas. dengan catatan 404 not found,3,
Aplikasinya bagus tapi tiba-tiba tidak bisa menggunakan QR dan bahkan menu Qrnya pun hilang,3,
"Saya tidak bisa login, ketitka login malah disuruh melengkapi data katanya untuk ke amanan tetapi saya tidak mendapatkan kode verifikasi yany di kirim ke email, bahkan langkah ini tidak dapat di skip jadi saya mentok di situ, tolong di perbaiki merugikan saya karena tugas tugas saya disitu",1,Negatif
"Kenapa kalo pas ujian yg gak buka tab lain yang cuma nyalain hotspot ke deteksi curang malah yang tab lain nya jadi layar pop up, layar ngambang gak ke deteksi curang. Kan curang namanya kesian sama yang bener2 jujur yang cuma nyalain hotspot buat bantuin temennya malah ke deteksi curang, kalo mau ya semuanya aja mau layar pop up layar apapun itu ya harusnya ke deteksi curang Tolong dong di tingkatkan lagi",1,Negatif
"Ga guna, percuma ngerjain tugas, tiba tiba log out sendiri begitu masuk tugas tugas yang udah di kerjain jadi muncul lagi jawaban kemrin hilang",1,Negatif
Aplikasinya tidak bisa douwload Pas sudah lama tidak di pake pas masuk harus masukan passwort lagi Susah pokoknya,2,Negatif
"untuk Verifikasi akun google gajelas, padahal sudah masukin kode dgn benar malah gabisa masuk dgn keterangan ""gagal mengganti email"" padahal email dan kode verifikasi sudah benar dan sesuai.",2,Negatif
"Saya tidak menerima kode Verifikasi pakai akun lain juga sama, andai edlink ngak ada tugas ku udah kekumpul dari kemarin",1,Negatif
Bagus sekali aku jadi mudah dalam mengumpulkan tugas kuliah,5,Positif
"Menurut saya, apknya udah bagus dan membantu.. cuman gatau sayanya yang belum tahu, di fitur quiz, setelah kita menyelesaikan quiz, kita ga bisa check soal yang salah.. jadi kalau bisa, siswa diberi akses untuk bisa check jawaban yang benar dan yang salah🙏🏻",4,Positif
"Kenapa ya tiba-tiba data yang saya miliki hilang setelah saya mengupdate aplikasi , setelah masuk kembali ,saya tidak bisa membuka tugas-tugas yang di kirim oleh dosen ?🥺🥺🥺",2,Negatif
"Setelah update apk nya crash, login balik semua tugas yg udah kekumpul malah hilang semua?????",2,Negatif
"APK gaje, tiba"" keluar sendiri pas mau login lagi. Gabisa karena ID & PW salah semua, kacaw",1,Negatif
"Tolong perbaiki, saya tidak bisa mengirim kan tugas padahal saya sudah mengirim nya, tolong di perbaiki",1,Negatif
"Min, kenapa edlink suka logout sendiri? Sebelumnya beberapa kali ke log out tpi bisa masuk pake google trus langsung ke sambung sama kampus, tpi ini saya ke log out lagi tpi harus nyambungin secara manual pake username sama pw, sedangkan akun itu susah masuk jika harus pakai username dan pw. Trus tugas-tugasnya juga notifikasi nya ga masuk, tugas-tugas yg dikirim dosen ke edlink ga ada yg masuk, padahal tugas itu deadline nya cuma 1 jam",4,Positif
"setelah update tiba-tiba crash,,, ketika aplikasi dibuka setelah update,,,, data-data kosong,,,, data-data tugas dan lainnya hilang semuanya, tolong diperbaiki dan diperiksa lagi,,,, kasihan pelajar-pelajar yang memakai aplikasi ini,,dan lagipula ini juga aplikasi yang banyak dipakai🐒💩👎",5,Positif
"Kok bisa""nya abis logout pas masuk lagi ke aplikasi semua data hilang tugas dan modul dari dosen tbtb ga ada, pdhl blom gw kerjain😢",1,Negatif
"Setelah di update tidak bisa login lagi selalu keluar"", sudah di loguot pun sama saja...",1,Negatif
"tolong diperbaiki dong data data tugas saya hilang semua nih, saya dari ibik 57",1,Negatif
Tolong pihak edlink kenapa ini tugas saya yg sudah saya kumpulkan dari awal kenapa pas sudah terupgrade jadi hilang tugas saya yg sdh dikumpulkan tolong diperbaiki segera,1,Negatif
"Akun tiba-tiba keluar sendiri, kalau login ulang email sama password salah padahal biasanya betul, sdh dari kemarin tetap gak bisa login walaupun udah login pake akun google tetap tdk bisa, apk sudah di update tetap tdk bisa, kalau masuk semua data-data bahkan tugas semuanya hilang, tolong secepatnya di perbaiki karna sangat merugikan bagi mahasiswa yg menggunakannya apalagi kalau kumpul tugas🙏🙏",1,Negatif
Pas sudah update aplikasi tidak membaca data ( periksa sambungan jaringan) padahal jaringan aman aman aja kok,3,
"Akun edlink saya tiba² logout padahal ngga diapa-apain. Ketika saya sudah login kembali, malah semua datanya hilang 404 Not Found. Ini kenapa ya, min admin? Tolong solusinya bagaimana? Tolong dong ini saya bagimana mau mengikuti perkuliahan & unduh file tugas kalau begini...😭 Setelah saya komplain langsung ditangani...selesai 1hari.... Terima kasih 🙏",5,Positif
Update ter Baru buat data yang ada sebelumnya hilang sehingga saya kesulitan untuk mencari metri perkuliahan yang saya butuhkan tolong segera diperbaiki,1,Negatif
"edlink kenapa sih dari kemaren down mulu kalo di hp, mau ngirim tugas gabisa, gada kelas juga, notif kosong. padahal ada tugas yg mesti dikirim, tp klo di laptop baik2 aja",3,
Suka kesal dah keluar mulu akunnya setiap hari gara gara sering keluar suka gak tau informasi kuliah kalo ada krn gak ada notifikasinya eh pas dibuka akunnya udah keluar sering banget malah,3,
Ini gimana ya tiba-tiba keluar terus pas udah bisa masuk lagi tugas sama kelasnya hilang,1,Negatif
Akun keluar dan tiba tiba nilai hilang semua dan tugas juga tidak terkumpul admin cepat dalam respon saat terjadi masalah,5,Positif
"Ga suka,, banyak banget masalah sama aplikasinya Saya lagi ada quiz malah ngga bisa kebuka tolong dong sistemnya di perbagus lagi supaya ga sering log out dan ngga terjadi hal yg sama ke yg lain",5,Positif
"Aplikasi gak jelas, tiba2 akunnya keluar sendiri, padahal akun siakad udah disambungkan ke email, tapi pas login pakai email, akun siakadnya malah gak ada",1,Negatif
"Buka di leptop = Klas dan lain2 tidak di temukan status mahasiswa, saat buka di hp status tamu = klas, dll tidak ditemukan. Sering logout sendiri",1,Negatif
"pembaharuan saat ini terdapat bug, dimana akun keluar sendiri, dan tugas yang sudah di upload dengan keterangan berhasil, pada saat di cek di hari berikutnya ternyata tidak terinput, tolong di perbaiki, trims 🙏",3,
"Aplikasi rusak, hak akses dibatasi tiba-tiba, padahal sebelumnya aman"" aja.. Gw duga apknya tidak melindungi privasi data pengguna",1,Negatif
"Aplikasinya bagus,banyak fiturnya dan juga mudah untuk menggunakannya",5,Positif
Sangat lemot sekali nilai UTS ku jadi kecil gara gara keluar sendiri di apknya,1,Negatif
"Bagus sih membantu dalam perkuliahan, tetapiterkadang ketika lama ga di gunakan keluar keluar sendiri (logout)",5,Positif
"Buka ed link langsung keluar dari akun, masuk via email password salah, mau ganti password, verifikasi di website edlink.id, pas buka untuk login dialihkan ke aplikasi, begitu terus. Niat nggk memudahkan user 😞",1,Negatif
Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,5,Positif
Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,2,Negatif
"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",1,Negatif
"kok akun saya tiba-tiba keluar sendiri dari apk nya padahal ngga di apa-apain, pas masuk lagi malah semua data-datanya pada ilang, gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan🙏😭 sekarang sudah jadi",5,Positif
"Sudah oke. Namun masih bug. Bug nya adalah: saya login sbg dosen. Lalu create schedulled meeting room utk sabtu jam 16.00. Meeting singkron dgn google kalendar, tapi schedule di kalendar nya malah muncul untuk hari ini jam 16.00.",4,Positif
Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcode/absensi Adakan fitur ambil gambar dari galeri,1,Negatif
"Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut, ganggu",1,Negatif
"Kok selalu jaringan bermasalah ya? Padahal jaringan saya lancar, jadi saya tidak mengumpul tugas dengan tepat waktu. Mohon perbaiki lagi apknya.",1,Negatif
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",1,Negatif
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",1,Negatif
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",3,
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",1,Negatif
"Harusnya yaaa setelah pemeliharaan sistem ituuu, aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error' yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya, kalau bisa bikin aplikasi jangan merugikan penggunanya",1,Negatif
"Tidak bisa buka aplikasi. ""Masalah koneksi tidak terhubung ke internet"". Padahal kuota internet masih ada. Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama. Apa sedang ada gangguan server/bagaimana?",1,Negatif
"Kenapa saya sering dapat gangguan jaringan min, aplikasinya gk bisa dibuka",2,Negatif
"ini servernya yg eror atau bagaimana? pas buka aplikasi loading mulu. katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom, zoom, dll aman aman aja.",1,Negatif
"tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk, saya punya tugas deadline nya soreee! tolong diperbaiki secepatnyaaaa",1,Negatif
Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki,3,
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya 0 semua. Sudah saya unistall dan reinstall tapi masih begitu 🥲,4,Positif
Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,2,Negatif
"Saran, Tambahkan fitur zoom in/out, saat Presensi QR!",3,
Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi 🙏,5,Positif
"Masih kurang sinkron dengan SIADIKNONA kampus, ada beberapa kelas yang tidak muncul, nilai di KHS/KRS juga.",1,Negatif
