content,score,label,txt
"Buka materi perkuliahan dan download materi filenya corrupt/tidak terbaca yang menjadikan absensi kehadiran Alfa, padahal bukan human error dan yang error dari aplikasi edlink",1,Negatif,buka materi perkuliahan dan download materi filenya corrupttidak terbaca yang menjadikan absensi kehadiran alfa padahal bukan human error dan yang error dari aplikasi edlink
makasih sudah di perbaiki dari saat setelah waktu zoom pertama habis dan ada bug saat masuk zoom sesi kedua selalu ngestak di persiapan zoom sekarang udh di fix,5,Positif,makasih sudah di perbaiki dari saat setelah waktu zoom pertama habis dan ada bug saat masuk zoom sesi kedua selalu ngestak di persiapan zoom sekarang udh di fix
"Aplikasi ini sangat bagus untuk perkuliahan, tapi ada kukurangan dalam pengaplikasian kamera waktu presensi, aplikasi tidak bisa mengezoom layar dosen saat presensi.",4,Positif,aplikasi ini sangat bagus untuk perkuliahan tapi ada kukurangan dalam pengaplikasian kamera waktu presensi aplikasi tidak bisa mengezoom layar dosen saat presensi
saya make edlink bagus sih namun sering kali kalau mau absensi suka keluar sendiri dan mencari data mahasiswa itu loading terus,4,Positif,saya make edlink bagus sih namun sering kali kalau mau absensi suka keluar sendiri dan mencari data mahasiswa itu loading terus
Sangat2 membantu sekali ... Semoga semakin baik 😊,5,Positif,sangat membantu sekali  semoga semakin baik 
"Baru mau coba,hehehe.Sebenernya terpaksa",4,Positif,baru mau cobahehehesebenernya terpaksa
Sangat membantu dan memudahkan dalam proses beljar,5,Positif,sangat membantu dan memudahkan dalam proses beljar
"tiap kali buka selalu terjadi kesalahan pada server,jadi banyak tugas"" yg ga bisa dikumpul",1,Negatif,tiap kali buka selalu terjadi kesalahan pada serverjadi banyak tugas yg ga bisa dikumpul
Teruntuk developer Apakah aplikasi nay sedang error? Soalnya saya ingin mengisi KRS tapi justru Status mahasiswa saya tidak aktif. Saya kira edlink saya bermasalah. Ternyata di akun teman saya juga seperti itu. Ini gimana ya? Soalnya saya belum mengisi KRS. Tolong cepat diperbaiki,1,Negatif,teruntuk developer apakah aplikasi nay sedang error soalnya saya ingin mengisi krs tapi justru status mahasiswa saya tidak aktif saya kira edlink saya bermasalah ternyata di akun teman saya juga seperti itu ini gimana ya soalnya saya belum mengisi krs tolong cepat diperbaiki
Fitur chat antar mahasiswa sangat lambat,5,Positif,fitur chat antar mahasiswa sangat lambat
gakk bisa ubah photo!!!,1,Negatif,gakk bisa ubah photo
"Bagus di saya sih. Cuman waktu ngumpul ujian di sini, temen saya loading terus di beranda, layar blank white screen lama banget sampe gak kekirim.",5,Positif,bagus di saya sih cuman waktu ngumpul ujian di sini temen saya loading terus di beranda layar blank white screen lama banget sampe gak kekirim
"edlink makin sini makin jelek, apalagi kalo dibuka di pc gabisa ngelampirin file buat submit tugas",2,Negatif,edlink makin sini makin jelek apalagi kalo dibuka di pc gabisa ngelampirin file buat submit tugas
"Update baru ga bisa absen scan wak, yang bener aja",1,Negatif,update baru ga bisa absen scan wak yang bener aja
"Min tolong di perbaiki lagi di bagian quiz nya, saya ngerjain soal dengan benar tiba tiba jawaban nya ganti sendiri bikin nilai jadi anjlok bikin males aja hadeh",1,Negatif,min tolong di perbaiki lagi di bagian quiz nya saya ngerjain soal dengan benar tiba tiba jawaban nya ganti sendiri bikin nilai jadi anjlok bikin males aja hadeh
Saat mengerjakan quiz ngebug dan jawaban benar menjadi jawaban lain,1,Negatif,saat mengerjakan quiz ngebug dan jawaban benar menjadi jawaban lain
Sangat membantu,5,Positif,sangat membantu
"Kenapa setelah hapus foto profil terus mau ganti yang baru tidak bisa ya, tidak muncul foto profilnya",5,Positif,kenapa setelah hapus foto profil terus mau ganti yang baru tidak bisa ya tidak muncul foto profilnya
"Terlalu sering kesalahan server tolong fix, saya sampe gk tau samsek ada tugas dan notifnya gk ada, udh kelewat deadline lagi",1,Negatif,terlalu sering kesalahan server tolong fix saya sampe gk tau samsek ada tugas dan notifnya gk ada udh kelewat deadline lagi
"sekarang presensi QR susah sekali karena pakai pengnalan wajah, dan wajah sering tidak tertedeteksi",2,Negatif,sekarang presensi qr susah sekali karena pakai pengnalan wajah dan wajah sering tidak tertedeteksi
Presensi scan wajahnya di perbaikilah bikin orang ga di absen aja,1,Negatif,presensi scan wajahnya di perbaikilah bikin orang ga di absen aja
Sinyal lancar tapi tetep muter terus apk GK guna,1,Negatif,sinyal lancar tapi tetep muter terus apk gk guna
Sangat membantu pelajaran,5,Positif,sangat membantu pelajaran
"Scan absennya gak bisa di zoom, jadi kepaksa harus maju kedepan kelas kalo engga di potret pake hp temen buat di zoom manual pake kamera. File dari dosen sering gak bisa kebuka/download harus log out dulu ribet. Scan wajah gagal mulu apk anomali",1,Negatif,scan absennya gak bisa di zoom jadi kepaksa harus maju kedepan kelas kalo engga di potret pake hp temen buat di zoom manual pake kamera file dari dosen sering gak bisa kebukadownload harus log out dulu ribet scan wajah gagal mulu apk anomali
"Halo, kak. Waktu sedang mengerjakan quiz kamera saya yang di layar tiba-tiba hilang, itu terjadi setelah saya menerima pop up notifikasi WhatsApp. Apakah itu nantinya akan diindikasikan sebagai tindak kecurangan kak? Padahal saya tidak membuka aplikasi lain dan tetap stay di edlink. Mohon dijawab kak🙏🏻",4,Positif,halo kak waktu sedang mengerjakan quiz kamera saya yang di layar tibatiba hilang itu terjadi setelah saya menerima pop up notifikasi whatsapp apakah itu nantinya akan diindikasikan sebagai tindak kecurangan kak padahal saya tidak membuka aplikasi lain dan tetap stay di edlink mohon dijawab kak
"Pada saat mengupload tugas tidak ada notifikasi/indikasi persentasenya, jadi tidak jelas apakah tugas itu sudah masuk atau belum. (Pengalaman buruk: tugas sudah di klik kirim tetapi tidak masuk, alhasil tugas tidak diterima. Sudah selesai mengerjakan tapi tidak diterima hanya gara gara belum selesai upload)",1,Negatif,pada saat mengupload tugas tidak ada notifikasiindikasi persentasenya jadi tidak jelas apakah tugas itu sudah masuk atau belum pengalaman buruk tugas sudah di klik kirim tetapi tidak masuk alhasil tugas tidak diterima sudah selesai mengerjakan tapi tidak diterima hanya gara gara belum selesai upload
"Sistem quiz error, soal ada 24,udah isi sumua, malah benar 20 salah 2, 2 lagi kemana? ,,apaan nih edlink?",1,Negatif,sistem quiz error soal ada udah isi sumua malah benar  salah   lagi kemana apaan nih edlink
"Bikin auto save lah kak, bjir lah gw bikin jawaban di text editor panjang panjang kepencet home, balik lagi jawaban gw ilang semua... Jadi ngulang lagi deh Masa kalah sama aplikasi lain yang bisa auto save",5,Positif,bikin auto save lah kak bjir lah gw bikin jawaban di text editor panjang panjang kepencet home balik lagi jawaban gw ilang semua jadi ngulang lagi deh masa kalah sama aplikasi lain yang bisa auto save
BENERIN SERVER NYA OIIII JANGAN UPDATE FITUR MULU.. NILAI UTS KU JADI CUMAN DAPAT RENDAH GARA GARA GAGAL FOKUS!!!!,1,Negatif,benerin server nya oiiii jangan update fitur mulu nilai uts ku jadi cuman dapat rendah gara gara gagal fokus
"Sekarang edlink kalo isi quiz mau record atau ngga, kok lemot yah berat padahal kerjakan di laptop",1,Negatif,sekarang edlink kalo isi quiz mau record atau ngga kok lemot yah berat padahal kerjakan di laptop
"Tolong adakan fitur zoom pada fitur scan code kehadiran, dan auto fokus",2,Negatif,tolong adakan fitur zoom pada fitur scan code kehadiran dan auto fokus
Ga berfungsi baik,1,Negatif,ga berfungsi baik
Hallo.aplikasi Edlink sudah ada di perangkat lain tidak Bisa download di hp yang saya pakai sekarang.,5,Positif,halloaplikasi edlink sudah ada di perangkat lain tidak bisa download di hp yang saya pakai sekarang
kode tidak terkirim ke email,1,Negatif,kode tidak terkirim ke email
"Server selalu sibuk, saat mengerjakan kuis, saya ingin mengubah jawaban dengan benar tetapi rupanya tidak ter load sama sistem nya yang membuat nilai saya nyaris di bawah kkm. mohon diperbaiki saya nyaris ngulang matkul lagi karna sistem nya yg bobrok ini",1,Negatif,server selalu sibuk saat mengerjakan kuis saya ingin mengubah jawaban dengan benar tetapi rupanya tidak ter load sama sistem nya yang membuat nilai saya nyaris di bawah kkm mohon diperbaiki saya nyaris ngulang matkul lagi karna sistem nya yg bobrok ini
mau masuk pakai email gabisa kenapa wehhh,2,Negatif,mau masuk pakai email gabisa kenapa wehhh
"Banyak sekali gangguannya dan juga respon admin yang menerima keluhan lambat, sehingga saya tidak dapat mengerjakan kuis salah satu mata kuliah, saya sudah mencoba berbagai cara dengan menghubungi lewat lin dan semacamnya tapi tetap responnya lambat.",1,Negatif,banyak sekali gangguannya dan juga respon admin yang menerima keluhan lambat sehingga saya tidak dapat mengerjakan kuis salah satu mata kuliah saya sudah mencoba berbagai cara dengan menghubungi lewat lin dan semacamnya tapi tetap responnya lambat
Cara ganti profilnya gimana?.cuman muncul gambar putih dan tulisan( note untuk menyesuaikan gambar ),5,Positif,cara ganti profilnya gimanacuman muncul gambar putih dan tulisan note untuk menyesuaikan gambar 
"setiap mau oresensi barcode tidak valid , setiap.perkuliahan begitu twrus dan waktu hanya 10 detik ribet memding durasi waktunya min 15 menit",1,Negatif,setiap mau oresensi barcode tidak valid  setiapperkuliahan begitu twrus dan waktu hanya  detik ribet memding durasi waktunya min  menit
"Kode verifikasinya sangat lamban masuk ke email saya, tunggu habis waktu dulu baru keluar kode verifikasinya. dan sampai detik ini saya belum bisa login ke edlink",1,Negatif,kode verifikasinya sangat lamban masuk ke email saya tunggu habis waktu dulu baru keluar kode verifikasinya dan sampai detik ini saya belum bisa login ke edlink
"Kok makin lelet min, setiap ngerjain quiz lelet trs",4,Positif,kok makin lelet min setiap ngerjain quiz lelet trs
Aplikasi sudah bagus. Namun saat saya menambahkan foto profil di akun saya gagal untuk di input terus. Mohon diperbaiki. Makasih,4,Positif,aplikasi sudah bagus namun saat saya menambahkan foto profil di akun saya gagal untuk di input terus mohon diperbaiki makasih
Saat saya mau masuk terjadi kesalahan server Mulu,2,Negatif,saat saya mau masuk terjadi kesalahan server mulu
"Kak ko di ktm edlink nya belum ada fotonya ya, padahal di siakad saya sudah masukan foto.",4,Positif,kak ko di ktm edlink nya belum ada fotonya ya padahal di siakad saya sudah masukan foto
Terimakasih kk aplikasi nya sangat membantu dalam proses perkuliahan,5,Positif,terimakasih kk aplikasi nya sangat membantu dalam proses perkuliahan
"bagus, saran saya kak minta tambahan widget biar jadwal kuliah mudah dilihat di beranda.",5,Positif,bagus saran saya kak minta tambahan widget biar jadwal kuliah mudah dilihat di beranda
Sulit akses dan tidak tersedia data yang dituju. Banyak menyita waktu dan tidak aplikatif.,1,Negatif,sulit akses dan tidak tersedia data yang dituju banyak menyita waktu dan tidak aplikatif
Bisa membaca berita updatenya,5,Positif,bisa membaca berita updatenya
"Terjadi kesalahan pada server pada saat login menggunakan siakad, padahal akunnya sudah benar, tolong di perbaiki.",2,Negatif,terjadi kesalahan pada server pada saat login menggunakan siakad padahal akunnya sudah benar tolong di perbaiki
mau login aja susah,1,Negatif,mau login aja susah
"Maaf ini kenapa aplikasinya tidak bisa masuk saya sudah berapa kali verifikasi dan tidak bisa melihat jadwal kuliah saya, saat saya keluar dari aplikasi disuruh verifikasi lagi tolong di respon, saya tidak bisa menggunakan aplikasinya entah hp saya ada sedikit bug pasti ada kendala di aplikasinya mohon di bantu",1,Negatif,maaf ini kenapa aplikasinya tidak bisa masuk saya sudah berapa kali verifikasi dan tidak bisa melihat jadwal kuliah saya saat saya keluar dari aplikasi disuruh verifikasi lagi tolong di respon saya tidak bisa menggunakan aplikasinya entah hp saya ada sedikit bug pasti ada kendala di aplikasinya mohon di bantu
Durasi ngirim kodenya lama banget buat daftar akunnya.,2,Negatif,durasi ngirim kodenya lama banget buat daftar akunnya
Kenapa login masuk dengan akun siakad tidak bisa muncul terjadi kesalah pada server,1,Negatif,kenapa login masuk dengan akun siakad tidak bisa muncul terjadi kesalah pada server
Kode registrasi nya lambat nyampai di email gimana mau daftar,1,Negatif,kode registrasi nya lambat nyampai di email gimana mau daftar
"aplikasihnya bikin kesal, karna tidak bisa masuk ke aplikasinya padahal saya sudah pastikan, akun siakadnya benar tu, tapi malas suru verivikasi ulang keamannya dan saya mengikuti arahannya eh malas minta kode melalu email yg di kirim tapi kode itu tdak tau muncul ke emailnya yg saya daftar gimana saya verifikasinya, saya kesal bnget si....................................",1,Negatif,aplikasihnya bikin kesal karna tidak bisa masuk ke aplikasinya padahal saya sudah pastikan akun siakadnya benar tu tapi malas suru verivikasi ulang keamannya dan saya mengikuti arahannya eh malas minta kode melalu email yg di kirim tapi kode itu tdak tau muncul ke emailnya yg saya daftar gimana saya verifikasinya saya kesal bnget si
"tidak bisa login, kesalahan server mulu",1,Negatif,tidak bisa login kesalahan server mulu
"Gak bisa masuk padahal dah sesuai sama akun google gua, kodenya gak pernah kekirim. Buruk. Sekalinya ngirim kode gak valid, delaynya juga terlalu lama",1,Negatif,gak bisa masuk padahal dah sesuai sama akun google gua kodenya gak pernah kekirim buruk sekalinya ngirim kode gak valid delaynya juga terlalu lama
"saya beri saran ditambahkan widget, agar semakin mudah saat melihat jadwal tidak perlu buka apk lagi",5,Positif,saya beri saran ditambahkan widget agar semakin mudah saat melihat jadwal tidak perlu buka apk lagi
Nice sangat bermanfaat,5,Positif,nice sangat bermanfaat
Beberapa Akun tak bisa diganti Photo profilnya kenapa ya min,4,Positif,beberapa akun tak bisa diganti photo profilnya kenapa ya min
"Tidak bisa masuk, padahal sudah sesuai akunnya dengan Siakad, disuruh ganti email malah tidak bisa.",1,Negatif,tidak bisa masuk padahal sudah sesuai akunnya dengan siakad disuruh ganti email malah tidak bisa
"Apk nya Masi belum sempurna, Masi banyak bug system dan sebagainya, untuk pengisian KRS aja Masi banyak kendala, mohon di perbaiki lagi untuk kedepannya..",2,Negatif,apk nya masi belum sempurna masi banyak bug system dan sebagainya untuk pengisian krs aja masi banyak kendala mohon di perbaiki lagi untuk kedepannya
Terimakasih banyak kak dan kaknya respon dengan cepat apa kendala yang saya hadapi serta kaknya baik...,5,Positif,terimakasih banyak kak dan kaknya respon dengan cepat apa kendala yang saya hadapi serta kaknya baik
Setiap ingin daftar siakad selalu kesalahan server tolong perbaiki lagi aplikasi,1,Negatif,setiap ingin daftar siakad selalu kesalahan server tolong perbaiki lagi aplikasi
"Udah bisa di hubungkan ke Drive sekarang. Tapi sayang lama banget, diperbaiki nya. Saya komen dari tanggal 20/06/24. Baru sekarang bisa dihubungkan, itupun modal iseng aj. Padahal niat mau uninstall sebab sudah gak ada Mata kuliah yang butuh edlink lagi. Ya udahlah. Thanks",5,Positif,udah bisa di hubungkan ke drive sekarang tapi sayang lama banget diperbaiki nya saya komen dari tanggal  baru sekarang bisa dihubungkan itupun modal iseng aj padahal niat mau uninstall sebab sudah gak ada mata kuliah yang butuh edlink lagi ya udahlah thanks
"Gaada notif jatuh tempo keuangan, jadi gatau tiba2 liat pembayaran jatuh tempo, minimal kasih tau dong kalau udah mendekati jatuh tempo, jadi kaget",1,Negatif,gaada notif jatuh tempo keuangan jadi gatau tiba liat pembayaran jatuh tempo minimal kasih tau dong kalau udah mendekati jatuh tempo jadi kaget
"Oke, aplikasi sudah diverifikasi google dan sip",5,Positif,oke aplikasi sudah diverifikasi google dan sip
Tolongdong ini edlink kok tiba tiba gak bisa ngumpulin tugas ya,1,Negatif,tolongdong ini edlink kok tiba tiba gak bisa ngumpulin tugas ya
"memori buat beekasnya terlalu kecil, sedangkan kami para mahasiswa butuh banyak lgi memori buat berkas biar pengumpulan tugas kami tidak terhambat",4,Positif,memori buat beekasnya terlalu kecil sedangkan kami para mahasiswa butuh banyak lgi memori buat berkas biar pengumpulan tugas kami tidak terhambat
"Aplikasi gajelassssssssssssss, informasj akademik dibatasi, mau lihat transkip nilai sendiri pun ditutup, apalah ni aplikasi",1,Negatif,aplikasi gajelassssssssssssss informasj akademik dibatasi mau lihat transkip nilai sendiri pun ditutup apalah ni aplikasi
"Sulit di gunakan, padahal udah masukan sandi yg sesuai dengan siakad sebelum malah ga bisa login",1,Negatif,sulit di gunakan padahal udah masukan sandi yg sesuai dengan siakad sebelum malah ga bisa login
Hallo kenapa saya tidak bisa mengirimkan tugas ya?bilangnya penyimpan penuh Sama di upgrade ke edlink pro padahal penyimpanan saya masih banyak,2,Negatif,hallo kenapa saya tidak bisa mengirimkan tugas yabilangnya penyimpan penuh sama di upgrade ke edlink pro padahal penyimpanan saya masih banyak
Kok nggak bisa dibuka ya aplikasi nya? Tolong dong diperbaiki lagi aplikasi nya,1,Negatif,kok nggak bisa dibuka ya aplikasi nya tolong dong diperbaiki lagi aplikasi nya
Aplikasi ini sangat membantu dan membuat belajar menjadi lebih mudah. Terima kasih.,4,Positif,aplikasi ini sangat membantu dan membuat belajar menjadi lebih mudah terima kasih
tolong fix pas mau buka berkasnya kadang bisa di buka kadang gak harus di download dulu baru bisa,4,Positif,tolong fix pas mau buka berkasnya kadang bisa di buka kadang gak harus di download dulu baru bisa
"Kode verifikasi kok gk ada di gmail kirim berulang ulang gk nimbul juga,aplikasi menyusah kan",1,Negatif,kode verifikasi kok gk ada di gmail kirim berulang ulang gk nimbul jugaaplikasi menyusah kan
"Kadang2 suka error melulu min, kenapa sih !?",1,Negatif,kadang suka error melulu min kenapa sih 
"Hi edlink, mohon untuk fitur chat di update lagi agar ada tanda notif chat terbaru, soalnya gak bisa bedain mana chat yang sudah dibaca dengan yang belum",5,Positif,hi edlink mohon untuk fitur chat di update lagi agar ada tanda notif chat terbaru soalnya gak bisa bedain mana chat yang sudah dibaca dengan yang belum
Aplikasi nya sering keluar mulu.. Apalagi saat ngumpulin tugas masa tugas nya tiba2 ilang padahal tulisan nya berhasil upload jadinya tugasnya gak ke kumpul dan tidak bisa upload ulang karena udah ditutup deadline tugasnya,2,Negatif,aplikasi nya sering keluar mulu apalagi saat ngumpulin tugas masa tugas nya tiba ilang padahal tulisan nya berhasil upload jadinya tugasnya gak ke kumpul dan tidak bisa upload ulang karena udah ditutup deadline tugasnya
"Sebenarnya aplikasinya sangat lengkap dan sangat membantu, tapi apabila dosen mengirimkan draft tugas tidak masuk di edlink. Di siakad memang masuk notifikasinya tpi terlalu ribet menggunakan siakad yg harus login setiap kali ingin masuk. Terkadang ketika dosen mengirimkan tugas kita tidak tahu karena notifikasi di edlink tidak masuk. Penggunaan siakad juga terlalu ribet digunakan dihp. Tolong untuk diperbaiki lagi. Terima kasih.",1,Negatif,sebenarnya aplikasinya sangat lengkap dan sangat membantu tapi apabila dosen mengirimkan draft tugas tidak masuk di edlink di siakad memang masuk notifikasinya tpi terlalu ribet menggunakan siakad yg harus login setiap kali ingin masuk terkadang ketika dosen mengirimkan tugas kita tidak tahu karena notifikasi di edlink tidak masuk penggunaan siakad juga terlalu ribet digunakan dihp tolong untuk diperbaiki lagi terima kasih
Kok sekarang ga bisa login ya padahal password dan username sudah benar,1,Negatif,kok sekarang ga bisa login ya padahal password dan username sudah benar
"Padahal sinyal/jaringan bagus tapi tiap mau buka materi/kelas leletnya luar biasa, udh dicoba berkali-kali masih aja",1,Negatif,padahal sinyaljaringan bagus tapi tiap mau buka materikelas leletnya luar biasa udh dicoba berkalikali masih aja
"Suka ada msalah sm jaringan, ga di hp ga di laptop, dibuka tulisannya ada masalah jaringan padahal pas buka ytb masih lancar. & makasih udah buat kuisnya bermasalah terus, padahal udah jawab semua soal trus tinggal kumpul, pas kumpul malah ngulang dari awal, pas ngejawab ada tulisan waktu habis, trus ku tekan satu2 jwaban nomor masi gabisa. pas no 10 teken berikutnya malah kekumpul😠 gimana ini?",1,Negatif,suka ada msalah sm jaringan ga di hp ga di laptop dibuka tulisannya ada masalah jaringan padahal pas buka ytb masih lancar  makasih udah buat kuisnya bermasalah terus padahal udah jawab semua soal trus tinggal kumpul pas kumpul malah ngulang dari awal pas ngejawab ada tulisan waktu habis trus ku tekan satu jwaban nomor masi gabisa pas no  teken berikutnya malah kekumpul gimana ini
Setelah pembaruan bukannya tambah optimal malah tambah buruk... Payah,1,Negatif,setelah pembaruan bukannya tambah optimal malah tambah buruk payah
"Permisi min, kok detail tugas dan sesi saya malah jadi ngga terlihat ya ini gimana?",2,Negatif,permisi min kok detail tugas dan sesi saya malah jadi ngga terlihat ya ini gimana
"Aplikasinya ga bisa dipakek, scan barcode gagal terus",1,Negatif,aplikasinya ga bisa dipakek scan barcode gagal terus
"Akun saya keluar sendiri , saat coba masuk dengan siakad muncul pesan terjadi kesalahan pada sistem ,tolong di perbaiki",1,Negatif,akun saya keluar sendiri  saat coba masuk dengan siakad muncul pesan terjadi kesalahan pada sistem tolong di perbaiki
"Hi EdLink. Saya mengusulkan model subscribe platform client individu untuk pengajar. Jadi semisal Dari perguruan tinggi masih menggunakan yang basic, Dosen pengampu bisa menggunakan fitur premium dengan swadaya. Terimakasih semoga dipertimbangkan.",5,Positif,hi edlink saya mengusulkan model subscribe platform client individu untuk pengajar jadi semisal dari perguruan tinggi masih menggunakan yang basic dosen pengampu bisa menggunakan fitur premium dengan swadaya terimakasih semoga dipertimbangkan
"Tolong kenapa ya suka keluar tiba² padahal udah berusaha buat login di google tp susah skli buat di pencet, tolong kerja sama nya, jangan sampai keluar tiba² dengan sendirinya, tolong dong biar bisa login lagi lewat google",1,Negatif,tolong kenapa ya suka keluar tiba padahal udah berusaha buat login di google tp susah skli buat di pencet tolong kerja sama nya jangan sampai keluar tiba dengan sendirinya tolong dong biar bisa login lagi lewat google
pindah sistem nilainya ketinggalan yg di sistem yg dulu pas udah perbaikan nilaipun blm semuanya masuk di edlink,4,Positif,pindah sistem nilainya ketinggalan yg di sistem yg dulu pas udah perbaikan nilaipun blm semuanya masuk di edlink
"Notif gak masuk sama sekali, errorr.",2,Negatif,notif gak masuk sama sekali errorr
"Aplikasi ini sumpah jelek banget bikin ribet, kendala di aplikasi ini banyak banget😭 ga layak bahkan di kasih bintang 1 aja 😭",1,Negatif,aplikasi ini sumpah jelek banget bikin ribet kendala di aplikasi ini banyak banget ga layak bahkan di kasih bintang  aja 
Scan barcode presentasi selalu Ga Valid,1,Negatif,scan barcode presentasi selalu ga valid
"Tolong kepada pihak apk sevima, akun saya saat akan mengakses materi dari dosen saya malah twetulis dibatasi. Tolong solusinya 🙏",2,Negatif,tolong kepada pihak apk sevima akun saya saat akan mengakses materi dari dosen saya malah twetulis dibatasi tolong solusinya 
"aneh kenapa tiba tiba keluar sendiri dari akun saya dan ketika masuk ga terhubung dengan kelas di perguruan tinggi, sangat menggangu ini! mau mengirimkan tugas tidak bisa juga, jangan sampai tugas yang udah saya kumpulkan hilang semua",1,Negatif,aneh kenapa tiba tiba keluar sendiri dari akun saya dan ketika masuk ga terhubung dengan kelas di perguruan tinggi sangat menggangu ini mau mengirimkan tugas tidak bisa juga jangan sampai tugas yang udah saya kumpulkan hilang semua
"Suruh kasih izin mulu, padahal udah dikasih izin penyimpanan, kocak nih aplikasi ga stabil",1,Negatif,suruh kasih izin mulu padahal udah dikasih izin penyimpanan kocak nih aplikasi ga stabil
"Saya tidak bisa login, ketitka login malah disuruh melengkapi data katanya untuk ke amanan tetapi saya tidak mendapatkan kode verifikasi yany di kirim ke email, bahkan langkah ini tidak dapat di skip jadi saya mentok di situ, tolong di perbaiki merugikan saya karena tugas tugas saya disitu",1,Negatif,saya tidak bisa login ketitka login malah disuruh melengkapi data katanya untuk ke amanan tetapi saya tidak mendapatkan kode verifikasi yany di kirim ke email bahkan langkah ini tidak dapat di skip jadi saya mentok di situ tolong di perbaiki merugikan saya karena tugas tugas saya disitu
"Kenapa kalo pas ujian yg gak buka tab lain yang cuma nyalain hotspot ke deteksi curang malah yang tab lain nya jadi layar pop up, layar ngambang gak ke deteksi curang. Kan curang namanya kesian sama yang bener2 jujur yang cuma nyalain hotspot buat bantuin temennya malah ke deteksi curang, kalo mau ya semuanya aja mau layar pop up layar apapun itu ya harusnya ke deteksi curang Tolong dong di tingkatkan lagi",1,Negatif,kenapa kalo pas ujian yg gak buka tab lain yang cuma nyalain hotspot ke deteksi curang malah yang tab lain nya jadi layar pop up layar ngambang gak ke deteksi curang kan curang namanya kesian sama yang bener jujur yang cuma nyalain hotspot buat bantuin temennya malah ke deteksi curang kalo mau ya semuanya aja mau layar pop up layar apapun itu ya harusnya ke deteksi curang tolong dong di tingkatkan lagi
