content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"bagus, terkadang ada bug absen aja",4,Positif,bagus terkadang ada bug absen aja,bagus terkadang bug absen aja,"['bagus', 'terkadang', 'bug', 'absen', 'aja']",bagus terkadang bug absen aja
"banyak terjadi kesalahan pada server, tolong dibenerin lagi lah bug yang seperti ini",1,Negatif,banyak terjadi kesalahan pada server tolong dibenerin lagi lah bug yang seperti ini,kesalahan server tolong dibenerin bug,"['kesalahan', 'server', 'tolong', 'dibenerin', 'bug']",salah server tolong dibenerin bug
Kok gak bisa nge unduh file sih,1,Negatif,kok gak bisa nge unduh file sih,gak nge unduh file sih,"['gak', 'nge', 'unduh', 'file', 'sih']",gak nge unduh file sih
Bagusss dan mudah,5,Positif,bagusss dan mudah,bagusss mudah,"['bagusss', 'mudah']",bagusss mudah
"Mohon maaf kenapa ya setiap saya buka apk edlink sinyal di HP saya seketika langsung menghilang padahal buka apk lain seperti youtube atau IG baik baik saja sinyalnya dan stabil, edlink juga terlalu loading lama untuk buka absensi barcode terus terkadang untuk buka file di edlink tidak bisa padahal itu hanya file PDF.",2,Negatif,mohon maaf kenapa ya setiap saya buka apk edlink sinyal di hp saya seketika langsung menghilang padahal buka apk lain seperti youtube atau ig baik baik saja sinyalnya dan stabil edlink juga terlalu loading lama untuk buka absensi barcode terus terkadang untuk buka file di edlink tidak bisa padahal itu hanya file pdf,mohon maaf ya buka apk edlink sinyal hp langsung menghilang buka apk youtube ig sinyalnya stabil edlink loading buka absensi barcode terkadang buka file edlink file pdf,"['mohon', 'maaf', 'ya', 'buka', 'apk', 'edlink', 'sinyal', 'hp', 'langsung', 'menghilang', 'buka', 'apk', 'youtube', 'ig', 'sinyalnya', 'stabil', 'edlink', 'loading', 'buka', 'absensi', 'barcode', 'terkadang', 'buka', 'file', 'edlink', 'file', 'pdf']",mohon maaf ya buka apk edlink sinyal hp langsung hilang buka apk youtube ig sinyal stabil edlink loading buka absensi barcode terkadang buka file edlink file pdf
"Buka materi perkuliahan dan download materi filenya corrupt/tidak terbaca yang menjadikan absensi kehadiran Alfa, padahal bukan human error dan yang error dari aplikasi edlink",1,Negatif,buka materi perkuliahan dan download materi filenya corrupttidak terbaca yang menjadikan absensi kehadiran alfa padahal bukan human error dan yang error dari aplikasi edlink,buka materi perkuliahan download materi filenya corrupttidak terbaca menjadikan absensi kehadiran alfa human error error aplikasi edlink,"['buka', 'materi', 'perkuliahan', 'download', 'materi', 'filenya', 'corrupttidak', 'terbaca', 'menjadikan', 'absensi', 'kehadiran', 'alfa', 'human', 'error', 'error', 'aplikasi', 'edlink']",buka materi kuliah download materi filenya corrupttidak baca jadi absensi hadir alfa human error error aplikasi edlink
makasih sudah di perbaiki dari saat setelah waktu zoom pertama habis dan ada bug saat masuk zoom sesi kedua selalu ngestak di persiapan zoom sekarang udh di fix,5,Positif,makasih sudah di perbaiki dari saat setelah waktu zoom pertama habis dan ada bug saat masuk zoom sesi kedua selalu ngestak di persiapan zoom sekarang udh di fix,makasih perbaiki zoom habis bug masuk zoom sesi ngestak persiapan zoom udh fix,"['makasih', 'perbaiki', 'zoom', 'habis', 'bug', 'masuk', 'zoom', 'sesi', 'ngestak', 'persiapan', 'zoom', 'udh', 'fix']",makasih baik zoom habis bug masuk zoom sesi ngestak siap zoom udh fix
"Aplikasi ini sangat bagus untuk perkuliahan, tapi ada kukurangan dalam pengaplikasian kamera waktu presensi, aplikasi tidak bisa mengezoom layar dosen saat presensi.",4,Positif,aplikasi ini sangat bagus untuk perkuliahan tapi ada kukurangan dalam pengaplikasian kamera waktu presensi aplikasi tidak bisa mengezoom layar dosen saat presensi,aplikasi bagus perkuliahan kukurangan pengaplikasian kamera presensi aplikasi mengezoom layar dosen presensi,"['aplikasi', 'bagus', 'perkuliahan', 'kukurangan', 'pengaplikasian', 'kamera', 'presensi', 'aplikasi', 'mengezoom', 'layar', 'dosen', 'presensi']",aplikasi bagus kuliah kurang aplikasi kamera presensi aplikasi mengezoom layar dosen presensi
saya make edlink bagus sih namun sering kali kalau mau absensi suka keluar sendiri dan mencari data mahasiswa itu loading terus,4,Positif,saya make edlink bagus sih namun sering kali kalau mau absensi suka keluar sendiri dan mencari data mahasiswa itu loading terus,make edlink bagus sih kali absensi suka mencari data mahasiswa loading,"['make', 'edlink', 'bagus', 'sih', 'kali', 'absensi', 'suka', 'mencari', 'data', 'mahasiswa', 'loading']",make edlink bagus sih kali absensi suka cari data mahasiswa loading
Sangat2 membantu sekali ... Semoga semakin baik 😊,5,Positif,sangat membantu sekali  semoga semakin baik ,membantu semoga,"['membantu', 'semoga']",bantu moga
"Baru mau coba,hehehe.Sebenernya terpaksa",4,Positif,baru mau cobahehehesebenernya terpaksa,cobahehehesebenernya terpaksa,"['cobahehehesebenernya', 'terpaksa']",cobahehehesebenernya paksa
Sangat membantu dan memudahkan dalam proses beljar,5,Positif,sangat membantu dan memudahkan dalam proses beljar,membantu memudahkan proses beljar,"['membantu', 'memudahkan', 'proses', 'beljar']",bantu mudah proses beljar
"tiap kali buka selalu terjadi kesalahan pada server,jadi banyak tugas"" yg ga bisa dikumpul",1,Negatif,tiap kali buka selalu terjadi kesalahan pada serverjadi banyak tugas yg ga bisa dikumpul,kali buka kesalahan serverjadi tugas yg ga dikumpul,"['kali', 'buka', 'kesalahan', 'serverjadi', 'tugas', 'yg', 'ga', 'dikumpul']",kali buka salah serverjadi tugas yg ga kumpul
Teruntuk developer Apakah aplikasi nay sedang error? Soalnya saya ingin mengisi KRS tapi justru Status mahasiswa saya tidak aktif. Saya kira edlink saya bermasalah. Ternyata di akun teman saya juga seperti itu. Ini gimana ya? Soalnya saya belum mengisi KRS. Tolong cepat diperbaiki,1,Negatif,teruntuk developer apakah aplikasi nay sedang error soalnya saya ingin mengisi krs tapi justru status mahasiswa saya tidak aktif saya kira edlink saya bermasalah ternyata di akun teman saya juga seperti itu ini gimana ya soalnya saya belum mengisi krs tolong cepat diperbaiki,teruntuk developer aplikasi nay error mengisi krs status mahasiswa aktif edlink bermasalah akun teman gimana ya mengisi krs tolong cepat diperbaiki,"['teruntuk', 'developer', 'aplikasi', 'nay', 'error', 'mengisi', 'krs', 'status', 'mahasiswa', 'aktif', 'edlink', 'bermasalah', 'akun', 'teman', 'gimana', 'ya', 'mengisi', 'krs', 'tolong', 'cepat', 'diperbaiki']",untuk developer aplikasi nay error isi krs status mahasiswa aktif edlink masalah akun teman gimana ya isi krs tolong cepat baik
Fitur chat antar mahasiswa sangat lambat,5,Positif,fitur chat antar mahasiswa sangat lambat,fitur chat mahasiswa lambat,"['fitur', 'chat', 'mahasiswa', 'lambat']",fitur chat mahasiswa lambat
gakk bisa ubah photo!!!,1,Negatif,gakk bisa ubah photo,gakk ubah photo,"['gakk', 'ubah', 'photo']",gakk ubah photo
"Bagus di saya sih. Cuman waktu ngumpul ujian di sini, temen saya loading terus di beranda, layar blank white screen lama banget sampe gak kekirim.",5,Positif,bagus di saya sih cuman waktu ngumpul ujian di sini temen saya loading terus di beranda layar blank white screen lama banget sampe gak kekirim,bagus sih cuman ngumpul ujian temen loading beranda layar blank white screen banget sampe gak kekirim,"['bagus', 'sih', 'cuman', 'ngumpul', 'ujian', 'temen', 'loading', 'beranda', 'layar', 'blank', 'white', 'screen', 'banget', 'sampe', 'gak', 'kekirim']",bagus sih cuman ngumpul uji temen loading beranda layar blank white screen banget sampe gak kirim
"edlink makin sini makin jelek, apalagi kalo dibuka di pc gabisa ngelampirin file buat submit tugas",2,Negatif,edlink makin sini makin jelek apalagi kalo dibuka di pc gabisa ngelampirin file buat submit tugas,edlink jelek kalo dibuka pc gabisa ngelampirin file submit tugas,"['edlink', 'jelek', 'kalo', 'dibuka', 'pc', 'gabisa', 'ngelampirin', 'file', 'submit', 'tugas']",edlink jelek kalo buka pc gabisa ngelampirin file submit tugas
"Update baru ga bisa absen scan wak, yang bener aja",1,Negatif,update baru ga bisa absen scan wak yang bener aja,update ga absen scan wak bener aja,"['update', 'ga', 'absen', 'scan', 'wak', 'bener', 'aja']",update ga absen scan wak bener aja
"Min tolong di perbaiki lagi di bagian quiz nya, saya ngerjain soal dengan benar tiba tiba jawaban nya ganti sendiri bikin nilai jadi anjlok bikin males aja hadeh",1,Negatif,min tolong di perbaiki lagi di bagian quiz nya saya ngerjain soal dengan benar tiba tiba jawaban nya ganti sendiri bikin nilai jadi anjlok bikin males aja hadeh,min tolong perbaiki quiz nya ngerjain nya ganti bikin nilai anjlok bikin males aja hadeh,"['min', 'tolong', 'perbaiki', 'quiz', 'nya', 'ngerjain', 'nya', 'ganti', 'bikin', 'nilai', 'anjlok', 'bikin', 'males', 'aja', 'hadeh']",min tolong baik quiz nya ngerjain nya ganti bikin nilai anjlok bikin males aja hadeh
Saat mengerjakan quiz ngebug dan jawaban benar menjadi jawaban lain,1,Negatif,saat mengerjakan quiz ngebug dan jawaban benar menjadi jawaban lain,quiz ngebug,"['quiz', 'ngebug']",quiz ngebug
Sangat membantu,5,Positif,sangat membantu,membantu,['membantu'],bantu
"Kenapa setelah hapus foto profil terus mau ganti yang baru tidak bisa ya, tidak muncul foto profilnya",5,Positif,kenapa setelah hapus foto profil terus mau ganti yang baru tidak bisa ya tidak muncul foto profilnya,hapus foto profil ganti ya muncul foto profilnya,"['hapus', 'foto', 'profil', 'ganti', 'ya', 'muncul', 'foto', 'profilnya']",hapus foto profil ganti ya muncul foto profil
"Terlalu sering kesalahan server tolong fix, saya sampe gk tau samsek ada tugas dan notifnya gk ada, udh kelewat deadline lagi",1,Negatif,terlalu sering kesalahan server tolong fix saya sampe gk tau samsek ada tugas dan notifnya gk ada udh kelewat deadline lagi,kesalahan server tolong fix sampe gk tau samsek tugas notifnya gk udh kelewat deadline,"['kesalahan', 'server', 'tolong', 'fix', 'sampe', 'gk', 'tau', 'samsek', 'tugas', 'notifnya', 'gk', 'udh', 'kelewat', 'deadline']",salah server tolong fix sampe gk tau samsek tugas notifnya gk udh lewat deadline
"sekarang presensi QR susah sekali karena pakai pengnalan wajah, dan wajah sering tidak tertedeteksi",2,Negatif,sekarang presensi qr susah sekali karena pakai pengnalan wajah dan wajah sering tidak tertedeteksi,presensi qr susah pakai pengnalan wajah wajah tertedeteksi,"['presensi', 'qr', 'susah', 'pakai', 'pengnalan', 'wajah', 'wajah', 'tertedeteksi']",presensi qr susah pakai nal wajah wajah tertedeteksi
Presensi scan wajahnya di perbaikilah bikin orang ga di absen aja,1,Negatif,presensi scan wajahnya di perbaikilah bikin orang ga di absen aja,presensi scan wajahnya perbaikilah bikin orang ga absen aja,"['presensi', 'scan', 'wajahnya', 'perbaikilah', 'bikin', 'orang', 'ga', 'absen', 'aja']",presensi scan wajah baik bikin orang ga absen aja
Sinyal lancar tapi tetep muter terus apk GK guna,1,Negatif,sinyal lancar tapi tetep muter terus apk gk guna,sinyal lancar tetep muter apk gk,"['sinyal', 'lancar', 'tetep', 'muter', 'apk', 'gk']",sinyal lancar tetep muter apk gk
Sangat membantu pelajaran,5,Positif,sangat membantu pelajaran,membantu pelajaran,"['membantu', 'pelajaran']",bantu ajar
"Scan absennya gak bisa di zoom, jadi kepaksa harus maju kedepan kelas kalo engga di potret pake hp temen buat di zoom manual pake kamera. File dari dosen sering gak bisa kebuka/download harus log out dulu ribet. Scan wajah gagal mulu apk anomali",1,Negatif,scan absennya gak bisa di zoom jadi kepaksa harus maju kedepan kelas kalo engga di potret pake hp temen buat di zoom manual pake kamera file dari dosen sering gak bisa kebukadownload harus log out dulu ribet scan wajah gagal mulu apk anomali,scan absennya gak zoom kepaksa maju kedepan kelas kalo engga potret pake hp temen zoom manual pake kamera file dosen gak kebukadownload log out ribet scan wajah gagal mulu apk anomali,"['scan', 'absennya', 'gak', 'zoom', 'kepaksa', 'maju', 'kedepan', 'kelas', 'kalo', 'engga', 'potret', 'pake', 'hp', 'temen', 'zoom', 'manual', 'pake', 'kamera', 'file', 'dosen', 'gak', 'kebukadownload', 'log', 'out', 'ribet', 'scan', 'wajah', 'gagal', 'mulu', 'apk', 'anomali']",scan absen gak zoom paksa maju depan kelas kalo engga potret pake hp temen zoom manual pake kamera file dosen gak kebukadownload log out ribet scan wajah gagal mulu apk anomali
"Halo, kak. Waktu sedang mengerjakan quiz kamera saya yang di layar tiba-tiba hilang, itu terjadi setelah saya menerima pop up notifikasi WhatsApp. Apakah itu nantinya akan diindikasikan sebagai tindak kecurangan kak? Padahal saya tidak membuka aplikasi lain dan tetap stay di edlink. Mohon dijawab kak🙏🏻",4,Positif,halo kak waktu sedang mengerjakan quiz kamera saya yang di layar tibatiba hilang itu terjadi setelah saya menerima pop up notifikasi whatsapp apakah itu nantinya akan diindikasikan sebagai tindak kecurangan kak padahal saya tidak membuka aplikasi lain dan tetap stay di edlink mohon dijawab kak,halo kak quiz kamera layar tibatiba hilang menerima pop up notifikasi whatsapp diindikasikan tindak kecurangan kak membuka aplikasi stay edlink mohon kak,"['halo', 'kak', 'quiz', 'kamera', 'layar', 'tibatiba', 'hilang', 'menerima', 'pop', 'up', 'notifikasi', 'whatsapp', 'diindikasikan', 'tindak', 'kecurangan', 'kak', 'membuka', 'aplikasi', 'stay', 'edlink', 'mohon', 'kak']",halo kak quiz kamera layar tibatiba hilang terima pop up notifikasi whatsapp indikasi tindak curang kak buka aplikasi stay edlink mohon kak
"Pada saat mengupload tugas tidak ada notifikasi/indikasi persentasenya, jadi tidak jelas apakah tugas itu sudah masuk atau belum. (Pengalaman buruk: tugas sudah di klik kirim tetapi tidak masuk, alhasil tugas tidak diterima. Sudah selesai mengerjakan tapi tidak diterima hanya gara gara belum selesai upload)",1,Negatif,pada saat mengupload tugas tidak ada notifikasiindikasi persentasenya jadi tidak jelas apakah tugas itu sudah masuk atau belum pengalaman buruk tugas sudah di klik kirim tetapi tidak masuk alhasil tugas tidak diterima sudah selesai mengerjakan tapi tidak diterima hanya gara gara belum selesai upload,mengupload tugas notifikasiindikasi persentasenya tugas masuk pengalaman buruk tugas klik kirim masuk alhasil tugas diterima selesai diterima gara gara selesai upload,"['mengupload', 'tugas', 'notifikasiindikasi', 'persentasenya', 'tugas', 'masuk', 'pengalaman', 'buruk', 'tugas', 'klik', 'kirim', 'masuk', 'alhasil', 'tugas', 'diterima', 'selesai', 'diterima', 'gara', 'gara', 'selesai', 'upload']",mengupload tugas notifikasiindikasi persentase tugas masuk alam buruk tugas klik kirim masuk alhasil tugas terima selesai terima gara gara selesai upload
"Sistem quiz error, soal ada 24,udah isi sumua, malah benar 20 salah 2, 2 lagi kemana? ,,apaan nih edlink?",1,Negatif,sistem quiz error soal ada udah isi sumua malah benar  salah   lagi kemana apaan nih edlink,sistem quiz error udah isi sumua salah kemana nih edlink,"['sistem', 'quiz', 'error', 'udah', 'isi', 'sumua', 'salah', 'kemana', 'nih', 'edlink']",sistem quiz error udah isi sumua salah mana nih edlink
"Bikin auto save lah kak, bjir lah gw bikin jawaban di text editor panjang panjang kepencet home, balik lagi jawaban gw ilang semua... Jadi ngulang lagi deh Masa kalah sama aplikasi lain yang bisa auto save",5,Positif,bikin auto save lah kak bjir lah gw bikin jawaban di text editor panjang panjang kepencet home balik lagi jawaban gw ilang semua jadi ngulang lagi deh masa kalah sama aplikasi lain yang bisa auto save,bikin auto save kak bjir gw bikin text editor kepencet home gw ilang ngulang deh kalah aplikasi auto save,"['bikin', 'auto', 'save', 'kak', 'bjir', 'gw', 'bikin', 'text', 'editor', 'kepencet', 'home', 'gw', 'ilang', 'ngulang', 'deh', 'kalah', 'aplikasi', 'auto', 'save']",bikin auto save kak bjir gw bikin text editor pencet home gw ilang ngulang deh kalah aplikasi auto save
BENERIN SERVER NYA OIIII JANGAN UPDATE FITUR MULU.. NILAI UTS KU JADI CUMAN DAPAT RENDAH GARA GARA GAGAL FOKUS!!!!,1,Negatif,benerin server nya oiiii jangan update fitur mulu nilai uts ku jadi cuman dapat rendah gara gara gagal fokus,benerin server nya oiiii update fitur mulu nilai uts ku cuman rendah gara gara gagal fokus,"['benerin', 'server', 'nya', 'oiiii', 'update', 'fitur', 'mulu', 'nilai', 'uts', 'ku', 'cuman', 'rendah', 'gara', 'gara', 'gagal', 'fokus']",benerin server nya oiiii update fitur mulu nilai uts ku cuman rendah gara gara gagal fokus
"Sekarang edlink kalo isi quiz mau record atau ngga, kok lemot yah berat padahal kerjakan di laptop",1,Negatif,sekarang edlink kalo isi quiz mau record atau ngga kok lemot yah berat padahal kerjakan di laptop,edlink kalo isi quiz record ngga lemot yah berat kerjakan laptop,"['edlink', 'kalo', 'isi', 'quiz', 'record', 'ngga', 'lemot', 'yah', 'berat', 'kerjakan', 'laptop']",edlink kalo isi quiz record ngga lot yah berat kerja laptop
"Tolong adakan fitur zoom pada fitur scan code kehadiran, dan auto fokus",2,Negatif,tolong adakan fitur zoom pada fitur scan code kehadiran dan auto fokus,tolong adakan fitur zoom fitur scan code kehadiran auto fokus,"['tolong', 'adakan', 'fitur', 'zoom', 'fitur', 'scan', 'code', 'kehadiran', 'auto', 'fokus']",tolong adakan fitur zoom fitur scan code hadir auto fokus
Ga berfungsi baik,1,Negatif,ga berfungsi baik,ga berfungsi,"['ga', 'berfungsi']",ga fungsi
Hallo.aplikasi Edlink sudah ada di perangkat lain tidak Bisa download di hp yang saya pakai sekarang.,5,Positif,halloaplikasi edlink sudah ada di perangkat lain tidak bisa download di hp yang saya pakai sekarang,halloaplikasi edlink perangkat download hp pakai,"['halloaplikasi', 'edlink', 'perangkat', 'download', 'hp', 'pakai']",halloaplikasi edlink perangkat download hp pakai
kode tidak terkirim ke email,1,Negatif,kode tidak terkirim ke email,kode terkirim email,"['kode', 'terkirim', 'email']",kode kirim email
"Server selalu sibuk, saat mengerjakan kuis, saya ingin mengubah jawaban dengan benar tetapi rupanya tidak ter load sama sistem nya yang membuat nilai saya nyaris di bawah kkm. mohon diperbaiki saya nyaris ngulang matkul lagi karna sistem nya yg bobrok ini",1,Negatif,server selalu sibuk saat mengerjakan kuis saya ingin mengubah jawaban dengan benar tetapi rupanya tidak ter load sama sistem nya yang membuat nilai saya nyaris di bawah kkm mohon diperbaiki saya nyaris ngulang matkul lagi karna sistem nya yg bobrok ini,server sibuk kuis mengubah ter load sistem nya nilai kkm mohon diperbaiki ngulang matkul karna sistem nya yg bobrok,"['server', 'sibuk', 'kuis', 'mengubah', 'ter', 'load', 'sistem', 'nya', 'nilai', 'kkm', 'mohon', 'diperbaiki', 'ngulang', 'matkul', 'karna', 'sistem', 'nya', 'yg', 'bobrok']",server sibuk kuis ubah ter load sistem nya nilai kkm mohon baik ngulang matkul karna sistem nya yg bobrok
mau masuk pakai email gabisa kenapa wehhh,2,Negatif,mau masuk pakai email gabisa kenapa wehhh,masuk pakai email gabisa wehhh,"['masuk', 'pakai', 'email', 'gabisa', 'wehhh']",masuk pakai email gabisa wehhh
"Banyak sekali gangguannya dan juga respon admin yang menerima keluhan lambat, sehingga saya tidak dapat mengerjakan kuis salah satu mata kuliah, saya sudah mencoba berbagai cara dengan menghubungi lewat lin dan semacamnya tapi tetap responnya lambat.",1,Negatif,banyak sekali gangguannya dan juga respon admin yang menerima keluhan lambat sehingga saya tidak dapat mengerjakan kuis salah satu mata kuliah saya sudah mencoba berbagai cara dengan menghubungi lewat lin dan semacamnya tapi tetap responnya lambat,gangguannya respon admin menerima keluhan lambat kuis salah mata kuliah mencoba menghubungi lin semacamnya responnya lambat,"['gangguannya', 'respon', 'admin', 'menerima', 'keluhan', 'lambat', 'kuis', 'salah', 'mata', 'kuliah', 'mencoba', 'menghubungi', 'lin', 'semacamnya', 'responnya', 'lambat']",ganggu respon admin terima keluh lambat kuis salah mata kuliah coba hubung lin macam responnya lambat
Cara ganti profilnya gimana?.cuman muncul gambar putih dan tulisan( note untuk menyesuaikan gambar ),5,Positif,cara ganti profilnya gimanacuman muncul gambar putih dan tulisan note untuk menyesuaikan gambar ,ganti profilnya gimanacuman muncul gambar putih tulisan note menyesuaikan gambar,"['ganti', 'profilnya', 'gimanacuman', 'muncul', 'gambar', 'putih', 'tulisan', 'note', 'menyesuaikan', 'gambar']",ganti profil gimanacuman muncul gambar putih tulis note sesuai gambar
"setiap mau oresensi barcode tidak valid , setiap.perkuliahan begitu twrus dan waktu hanya 10 detik ribet memding durasi waktunya min 15 menit",1,Negatif,setiap mau oresensi barcode tidak valid  setiapperkuliahan begitu twrus dan waktu hanya  detik ribet memding durasi waktunya min  menit,oresensi barcode valid setiapperkuliahan twrus detik ribet memding durasi min menit,"['oresensi', 'barcode', 'valid', 'setiapperkuliahan', 'twrus', 'detik', 'ribet', 'memding', 'durasi', 'min', 'menit']",oresensi barcode valid setiapperkuliahan twrus detik ribet memding durasi min menit
"Kode verifikasinya sangat lamban masuk ke email saya, tunggu habis waktu dulu baru keluar kode verifikasinya. dan sampai detik ini saya belum bisa login ke edlink",1,Negatif,kode verifikasinya sangat lamban masuk ke email saya tunggu habis waktu dulu baru keluar kode verifikasinya dan sampai detik ini saya belum bisa login ke edlink,kode verifikasinya lamban masuk email tunggu habis kode verifikasinya detik login edlink,"['kode', 'verifikasinya', 'lamban', 'masuk', 'email', 'tunggu', 'habis', 'kode', 'verifikasinya', 'detik', 'login', 'edlink']",kode verifikasi lamban masuk email tunggu habis kode verifikasi detik login edlink
"Kok makin lelet min, setiap ngerjain quiz lelet trs",4,Positif,kok makin lelet min setiap ngerjain quiz lelet trs,lelet min ngerjain quiz lelet trs,"['lelet', 'min', 'ngerjain', 'quiz', 'lelet', 'trs']",lelet min ngerjain quiz lelet trs
Aplikasi sudah bagus. Namun saat saya menambahkan foto profil di akun saya gagal untuk di input terus. Mohon diperbaiki. Makasih,4,Positif,aplikasi sudah bagus namun saat saya menambahkan foto profil di akun saya gagal untuk di input terus mohon diperbaiki makasih,aplikasi bagus foto profil akun gagal input mohon diperbaiki makasih,"['aplikasi', 'bagus', 'foto', 'profil', 'akun', 'gagal', 'input', 'mohon', 'diperbaiki', 'makasih']",aplikasi bagus foto profil akun gagal input mohon baik makasih
